Country,Jury,Volkswagen Polo,Toyota iQ,Opel/Vauxhall Astra,Skoda Yeti,Mercedes-Benz E-Class,Peugeot 3008,Citröen C3 Picasso
Austria,Horst Bauer,9,1,6,5,3,0,1
Austria,Gerhard Nöhrer,9,3,6,5,2,0,0
Belgium,Stephane Lemeret,6,10,4,1,0,4,0
Belgium,Jos Gryseels,6,9,6,0,0,2,2
Czech Republic,Tomas Hyan,3,8,3,4,5,1,1
Denmark,Peter Aaboe,4,3,6,2,0,0,10
Finland,Martti,3,8,3,2,2,6,1
France,Jacques Chevalier,3,10,4,0,2,6,0
France,Christophe Bonnaud,7,5,4,2,1,4,2
France,Jean-Jacques Cornaert,6,10,1,2,1,3,2
France,Philippe Gegout,6,6,3,1,0,8,1
France,Francis Monsenergue,6,5,1,0,3,8,2
France,Alain-Gabriel Verdevoye,5,4,0,1,7,6,2
Germany,Thomas Imhof,8,5,3,4,3,0,2
Germany,Frank Janssen,9,7,2,1,4,1,1
Germany,Georg Kacher,6,1,5,5,5,0,3
Germany,Jürgen Lewandowski,7,5,4,2,6,1,0
Germany,Wolfgang Peters,10,0,3,4,6,2,0
Germany,Jörg Reichle,7,1,5,8,4,0,0
Greece,Efstratios Chatzipanagiotou,8,6,3,4,2,1,1
Hungary,Peter Suranyi,1,4,8,1,3,3,5
Hungary,Miklos Gajdan,6,8,3,1,4,2,1
Ireland,Michael McAleer,7,8,1,1,5,3,0
Italy,Daniele,5,7,4,2,2,3,2
Italy,Diego Eramo,7,3,2,2,4,5,2
Italy,Alessandro Ferrari,8,4,6,2,0,3,2
Italy,Massimo Nascimbene,7,4,5,3,1,4,1
Italy,Carlo Cavicchi,6,5,4,2,2,3,3
Italy,Giorgio Ursicino,6,5,5,0,3,3,3
Netherlands,Jeroen Jongeneel,6,5,7,4,3,0,0
Netherlands,Ton Roks,5,3,6,2,5,2,2
Netherlands,Jos Vroomans,2,5,8,3,5,0,2
Norway,Rune Korsvoll,10,6,4,1,0,2,2
Poland,Wojciech Sierpowski,5,5,8,1,1,1,4
Poland,Maciek Ziemek,5,4,3,3,3,3,4
Portugal,Francisco Mota,7,2,3,2,1,5,5
Portugal,Joaquim Oliveira,8,2,3,1,6,4,1
Romania,Dan Vardie,7,6,5,1,2,3,1
Russia,Vadim Ovsiankin,5,6,4,2,3,3,2
Russia,Mikhail I. Podorozhansky,3,5,3,4,6,2,2
Slovenia,Tomaz Porekar,7,5,6,4,1,1,1
Spain,Manuel Domenech,7,5,5,1,2,2,3
Spain,Pedro Figueruelo,6,5,4,2,1,2,5
Spain,Alberto Mallo,6,8,4,1,1,3,2
Spain,Eduardo Azpilicueta,6,8,4,0,0,3,4
Spain,Maria Angeles Pujol,2,9,4,3,2,3,2
Spain,Sergio Piccione,6,7,5,1,2,2,2
Sweden,Lasse Holmström,3,10,4,5,2,1,0
Sweden,Hakan Matson,6,10,2,3,0,4,0
Sweden,Marianne Sterner,6,10,1,5,1,1,1
Switzerland,Urs Bartschi,8,6,6,3,0,2,0
Switzerland,Peter Ruch,9,7,0,3,0,2,4
Turkey,Ufuk Sandik,5,7,5,3,0,4,1
United Kingdom,Andrew English,10,4,2,3,6,0,0
United Kingdom,Andrew Frankel,4,7,0,6,5,1,2
United Kingdom,Paul Horrell,4,4,1,6,5,1,4
United Kingdom,Phil McNamara,5,4,2,6,4,2,2
United Kingdom,Steve Cropley,2,8,2,2,5,3,3
United Kingdom,John Simister,1,9,0,10,3,0,2
