Country,Jury,Nissan Leaf,Alfa Romeo Giulietta,Opel/Vauxhall Meriva,Ford C-Max/Grand C-Max,Citröen C3/DS3,Volvo S60/Volvo V60,Dacia Duster
Austria,Horst Bauer,1,8,6,5,2,0,3
Austria,Gerhard Nöhrer,4,5,7,3,2,1,3
Belgium,Stephane Lemeret,1,5,0,6,6,0,7
Belgium,Jos Gryseels,5,5,3,3,8,0,1
Czech Republic,Tomas Hyan,4,8,3,4,3,3,0
Denmark,Peter Aaboe,5,3,9,5,1,2,0
Finland,Velimatti Honkanen,6,2,7,3,1,2,4
France,Jacques Chevalier,5,6,2,2,4,2,4
France,Jean-Jacques Cornaert,10,1,2,1,2,1,8
France,Philippe Gegout,1,7,5,5,4,3,0
France,Francis Monsenergue,7,2,4,3,4,2,3
France,Alain-Gabriel Verdevoye,6,1,2,3,3,2,8
Germany,Thomas Imhof,10,3,6,4,1,1,0
Germany,Frank Janssen,2,6,4,8,2,2,1
Germany,Georg Kacher,7,3,3,3,3,3,3
Germany,Jürgen Lewandowski,1,3,6,7,5,2,1
Germany,Jörg Reichle,7,3,3,3,3,3,3
Greece,Efstratios Chatzipanagiotou,4,8,1,2,6,3,1
Hungary,Peter Suranyi,3,4,6,4,1,2,5
Hungary,Miklos Gajdan,8,4,3,2,1,6,1
Ireland,Michael McAleer,8,3,5,4,1,4,0
Italy,Piero Bianco,1,7,5,4,3,3,2
Italy,Diego Eramo,0,6,4,5,4,4,2
Italy,Alessandro Ferrari,0,5,6,4,3,4,3
Italy,Massimo Nascimbene,0,4,6,2,3,8,2
Italy,Carlo Cavicchi,0,5,6,3,3,5,3
Italy,Giorgio Ursicino,5,4,4,4,3,3,2
Netherlands,Jeroen Jongeneel,2,4,6,7,2,4,0
Netherlands,Ton Roks,7,5,2,4,3,3,1
Netherlands,Jos Vroomans,5,7,5,3,2,2,1
Norway,Rune Korsvoll,10,1,5,3,1,4,1
Poland,Wojciech Sierpowski,5,6,5,3,3,2,1
Poland,Maciek Ziemek,3,3,3,7,6,2,1
Portugal,Francisco Mota,0,2,3,6,4,2,8
Portugal,Joaquim Oliveria,7,5,4,6,1,0,2
Romania,Dan Vardie,5,3,4,3,2,2,6
Russia,Vadim Ovsiankin,5,3,4,3,3,1,6
Russia,Mikhail I. Podorozhansky,5,4,4,4,1,3,4
Slovenia,Tomaz Porekar,4,4,4,5,4,2,2
Spain,Manuel Domenech,0,6,5,4,2,4,4
Spain,Pedro Figueruelo,0,6,4,6,7,2,0
Spain,Alberto Mallo,1,6,3,8,4,2,1
Spain,Juan Carlos Payo,1,4,5,6,4,3,2
Spain,Maria Angeles Pujol,0,6,3,5,5,3,3
Spain,Sergio Piccione,0,4,4,4,3,3,7
Sweden,Lasse Holmström,9,3,5,1,0,7,0
Sweden,Hakan Matson,6,3,10,1,2,3,0
Sweden,Marianne Sterner,7,1,10,0,4,3,0
Switzerland,Urs Bartschi,7,3,5,4,2,1,3
Switzerland,Peter Ruch,5,5,2,1,7,5,0
Turkey,Ufuk Sandik,8,6,3,1,2,5,0
United Kingdom,Andrew English,8,3,5,5,2,2,0
United Kingdom,Andrew Frankel,8,6,3,4,2,1,1
United Kingdom,Paul Horrell,9,5,3,3,4,0,1
United Kingdom,Phil McNamara,8,5,3,5,2,1,1
United Kingdom,Steve Cropley,7,4,2,2,3,2,5
United Kingdom,John Simister,4,4,2,8,6,0,1
