Country,Jury,Opel Ampera/Chevrolet Volt,Volkswagen UP!,Ford Focus,Range Rover Evoque,Fiat Panda,Citröen DS5,Toyota Yaris
Austria,Horst Bauer,6,7,3,4,3,2,0
Austria,Gerhard Nöhrer,3,8,5,3,3,2,1
Belgium,Stephane Lemeret,1,6,5,1,7,1,4
Belgium,Jos Gryseels,6,4,1,2,4,5,3
Czech Republic,Tomas Hyan,7,3,4,4,3,2,2
Denmark,Soren W. Rasmussen,9,5,4,1,3,1,2
Finland,Velimatti Honkanen,6,5,5,3,1,2,3
France,Jacques Chevalier,5,3,6,2,1,5,3
France,Jean-Jacques Cornaert,8,1,4,1,1,4,6
France,Philippe Gegout,9,2,2,5,1,3,3
France,Yves Maroselli,7,2,5,1,1,3,6
France,Francis Monsenergue,6,2,2,4,1,7,3
France,Alain-Gabriel Verdevoye,3,7,3,1,4,5,2
Germany,Thomas Imhof,7,5,5,2,4,1,1
Germany,Ulla Ellmer,7,6,4,2,2,3,1
Germany,Frank Janssen,5,7,3,2,2,1,5
Germany,Georg Kacher,5,4,4,6,4,1,1
Germany,Jürgen Lewandowski,5,8,2,4,3,1,2
Germany,Jörg Reichle,9,4,1,7,4,0,0
Greece,Efstratios Chatzipanagiotou,1,6,7,2,4,2,3
Hungary,Peter Suranyi,8,1,3,2,4,6,1
Hungary,Miklos Gajdan,9,3,7,1,1,3,1
Ireland,Michael McAleer,7,5,4,4,1,3,1
Italy,Piero Bianco,2,5,3,6,5,2,2
Italy,Diego Eramo,2,4,8,9,2,0,0
Italy,Alessandro Ferrari,3,6,2,3,5,4,2
Italy,Massimo Nascimbene,7,4,3,6,3,1,1
Italy,Carlo Cavicchi,4,4,3,5,3,3,3
Italy,Giorgio Ursicino,4,5,4,3,4,2,3
Netherlands,Jeroen Jongeneel,5,6,8,3,3,0,0
Netherlands,Ton Roks,3,5,6,2,4,1,4
Netherlands,Jos Vroomans,10,3,4,1,3,1,3
Norway,Rune Korsvoll,8,6,4,1,1,1,4
Poland,Wojciech Sierpowski,7,4,3,3,3,4,1
Poland,Maciek Ziemek,6,3,5,1,3,2,5
Portugal,Francisco Mota,3,3,9,2,5,2,1
Portugal,Joaquim Oliveira,4,9,6,0,0,4,2
Russia,Vadim Ovsiankin,4,3,5,3,3,3,4
Russia,Mikhail I. Podorozhansky,4,2,4,5,2,6,2
Slovenia,Tomaz Porekar,4,4,5,3,3,3,3
Spain,Manuel Domenech,2,5,6,4,4,2,2
Spain,Pedro Figueruelo,3,6,5,1,2,5,3
Spain,Alberto Mallo,8,2,6,1,1,4,3
Spain,Juan Carlos Payo,3,4,5,4,3,3,3
Spain,Xavier Perez,2,4,4,6,3,4,2
Spain,Sergio Piccione,6,5,5,5,1,2,1
Sweden,Lasse Holmström,8,10,2,0,3,1,1
Sweden,Hakan Matson,4,4,8,5,1,1,2
Sweden,Marianne Sterner,9,7,5,0,1,0,3
Switzerland,Urs Bartschi,8,6,4,4,0,2,1
Switzerland,Peter Ruch,7,4,3,1,4,5,1
Turkey,Ufuk Sandik,0,7,5,3,2,6,2
United Kingdom,Andrew English,10,6,4,3,2,0,0
United Kingdom,Andrew Frankel,6,7,4,5,2,0,1
United Kingdom,Paul Horrell,7,6,3,4,2,3,0
United Kingdom,Phil McNamara,6,5,4,5,4,1,0
United Kingdom,Steve Cropley,8,5,4,4,4,0,0
United Kingdom,John Simister,10,6,3,5,1,0,0
