Country,Jury,Volkswagen Golf,Subaru BRZ/Toyota GT86,Volvo V40,Ford B-Max,Mercedes-Benz A-Class,Renault Clio,Peugeot 208,Hyundai i30
Austria,Horst Bauer,8,6,4,1,3,1,1,1
Austria,Gerhard Nöhrer,9,3,1,2,3,2,1,4
Belgium,Stephane Lemeret,3,4,5,5,1,6,1,0
Belgium,Tony Verhelle,6,5,1,2,1,4,4,2
Czech Republic,Tomas Hyan,7,5,1,3,4,1,0,4
Denmark,Soren W. Rasmussen,9,1,4,4,1,3,2,1
Finland,Velimatti Honkanen,7,2,6,4,2,1,1,2
France,Jacques Chevalier,7,6,0,3,0,4,5,0
France,Thierry Etienne,7,6,1,1,3,2,4,1
France,Didier Laurent,7,5,1,1,3,3,4,1
France,Yves Maroselli,8,5,1,2,1,3,4,1
France,Francis Monsenergue,3,2,2,4,3,3,6,2
France,Alain-Gabriel Verdevoye,7,0,2,1,4,3,5,3
Germany,Thomas Imhof,7,1,3,0,3,4,4,3
Germany,Ulla Ellmer,9,2,3,4,5,1,0,1
Germany,Frank Janssen,8,10,1,1,0,1,3,1
Germany,Georg Kacher,5,7,4,1,5,1,1,1
Germany,Jürgen Lewandowski,8,3,2,4,5,1,1,1
Germany,Jörg Reichle,10,1,4,2,8,0,0,0
Greece,Efstratios Chatzipanagiotou,5,4,3,2,2,6,2,1
Hungary,Zsolt Csikos,9,4,8,0,0,2,2,0
Hungary,Miklos Gajdan,9,0,4,1,2,0,3,6
Ireland,Michael McAleer,8,6,2,3,2,3,1,0
Italy,Piero Bianco,7,2,3,3,4,2,2,2
Italy,Diego Eramo,10,2,3,1,2,2,2,3
Italy,Alessandro Ferrari,8,1,7,1,3,1,1,3
Italy,Massimo Nascimbene,7,2,3,2,4,2,2,3
Italy,Alberto Sabbatini,7,4,4,1,4,2,1,2
Italy,Giorgio Ursicino,6,1,3,4,3,2,3,3
Netherlands,Jeroen Jongeneel,7,5,3,4,6,0,0,0
Netherlands,Ton Roks,3,8,2,4,2,2,1,3
Netherlands,Jos Vroomans,6,8,2,5,1,1,1,1
Norway,Rune Korsvoll,6,0,4,8,4,1,1,1
Poland,Wojciech Sierpowski,9,2,2,4,0,2,2,4
Poland,Maciek Ziemek,6,5,5,2,1,2,2,2
Portugal,Francisco Mota,10,4,0,2,1,6,0,2
Portugal,Joaquim Oliveira,6,2,2,2,5,2,2,4
Russia,Vadim Ovsiankin,6,1,7,2,3,1,1,4
Russia,Mikhail I. Podorozhansky,6,2,4,1,3,3,4,2
Slovenia,Tomaz Porekar,6,4,3,4,0,2,2,4
Spain,Manuel Domenech,7,1,3,4,2,3,2,3
Spain,Rafael Guitart,6,1,4,2,3,4,3,2
Spain,Alberto Mallo,8,1,2,2,2,5,3,2
Spain,Juan Carlos Payo,6,2,2,3,2,3,4,3
Spain,Xavier Perez,4,3,2,3,2,2,5,4
Spain,Sergio Piccione,5,2,4,7,0,4,2,1
Sweden,Lasse Holmström,10,0,9,4,0,1,1,0
Sweden,Hakan Matson,9,2,6,2,1,3,1,1
Sweden,Tommy Wahlström,9,3,6,4,0,2,1,0
Switzerland,Urs Bartschi,8,2,3,0,3,2,5,2
Switzerland,Peter Ruch,8,5,4,1,1,0,3,3
Turkey,Ufuk Sandik,6,0,4,1,2,5,3,4
United Kingdom,Andrew English,8,4,5,1,5,0,0,2
United Kingdom,Andrew Frankel,6,5,2,4,2,3,1,2
United Kingdom,Paul Horrell,10,4,4,2,2,2,1,0
United Kingdom,Phil McNamara,8,7,5,2,3,0,0,0
United Kingdom,Steve Cropley,7,9,2,2,1,1,2,1
United Kingdom,John Simister,7,10,2,3,0,0,1,2
