Country,Jury,Peugeot 308,BMW i3,Tesla S,Citröen C4 Picasso,Mazda 3,Skoda Octavia,Mercedes-Benz S-Class
Austria,Horst Bauer,7,2,0,2,5,6,3
Austria,Gerhard Nöhrer,7,5,1,2,3,3,4
Belgium,Stephane Lemeret,7,1,6,1,8,1,1
Belgium,Tony Verhelle,4,5,7,1,4,1,3
Czech Republic,Tomas Hyan,4,4,8,0,1,5,3
Denmark,Soren W. Rasmussen,6,4,1,4,2,7,1
Finland,Velimatti Honkanen,4,1,7,3,2,5,3
France,Jacques Chevalier,7,4,3,2,3,2,4
France,Thierry Etienne,7,3,1,4,4,3,3
France,Dider Laurent,8,2,1,5,4,3,2
France,Yves Maroselli,8,4,1,3,4,2,3
France,Francis Monsenergue,9,0,0,5,3,5,3
France,Alain-Gabriel Verdevoye,8,2,3,5,4,3,0
Germany,Thomas Imhof,1,10,7,0,1,3,3
Germany,Ulla Ellmer,3,5,6,2,3,2,4
Germany,Frank Janssen,9,1,2,1,2,3,7
Germany,Georg Kacher,3,6,8,1,3,3,1
Germany,Jürgen Lewandowski,4,0,1,3,2,5,10
Germany,Jörg Reichle,3,6,8,0,0,3,5
Greece,Efstratios Chatzipanagiotou,6,8,1,4,0,5,1
Hungary,Zsolt Csikos,4,3,6,3,4,2,3
Hungary,Miklos Gajdan,8,4,5,2,3,2,1
Ireland,Michael McAleer,2,4,8,4,1,3,3
Italy,Piero Bianco,9,2,2,4,3,2,3
Italy,Diego Eramo,6,0,5,7,3,4,0
Italy,Alessandro Ferrari,8,0,0,7,4,4,2
Italy,Massimo Nascimbene,6,3,8,2,2,2,2
Italy,Alberto Sabbatini,6,1,9,3,1,3,2
Italy,Giorgio Ursicino,6,3,4,5,2,3,2
Netherlands,Jaco Bijlsma,2,7,6,2,6,0,2
Netherlands,Ton Roks,3,7,5,1,3,1,5
Netherlands,Gert Wisse,1,10,1,0,3,4,6
Norway,Rune Korsvoll,2,8,1,2,4,6,2
Poland,Wojciech Sierpowski,6,2,2,4,4,5,2
Poland,Maciek Ziemek,3,7,4,3,2,2,4
Portugal,Francisco Mota,4,3,3,7,1,4,3
Portugal,Joaquim Oliveira,6,3,1,5,1,5,4
Russia,Vadim Ovsiankin,3,4,5,3,3,3,4
Russia,Mikhail I. Podorozhansky,3,4,6,2,2,5,3
Slovenia,Tomaz Porekar,8,3,2,7,1,1,3
Spain,Felix Cerezo,7,2,0,5,5,3,3
Spain,Rafael Guitart,9,2,0,7,3,4,0
Spain,Alberto Mallo,9,2,2,5,4,1,2
Spain,Juan Carlos Payo,8,2,0,6,4,2,3
Spain,Xavier Perez,9,3,0,6,3,2,2
Spain,Pere Prat,10,2,0,5,3,4,1
Sweden,Lasse Holmström,6,1,8,2,4,3,1
Sweden,Hakan Matson,4,1,9,6,3,1,1
Sweden,Tommy Wahlström,3,1,4,0,2,6,9
Switzerland,Urs Bartschi,7,5,4,1,5,2,1
Switzerland,Peter Ruch,7,4,4,4,3,3,0
Turkey,Ufuk Sandik,4,7,2,3,6,2,1
United Kingdom,Andrew English,4,6,5,3,2,5,0
United Kingdom,Andrew Frankel,1,5,4,2,5,0,8
United Kingdom,Paul Horrell,2,6,4,4,3,1,5
United Kingdom,Phil McNamara,5,6,4,2,4,0,4
United Kingdom,Steve Cropley,2,9,5,2,3,1,3
United Kingdom,John Simister,4,10,7,1,0,0,3
