Country,Jury,Volkswagen Passat,Citröen C4 Cactus,Mercedes-Benz C-Class,Ford Mondeo,Nissan Qashqai,BMW 2-Series,Renault Twingo
Austria,Horst Bauer,7,2,6,5,2,2,1
Austria,Gerhard Nöhrer,10,2,6,3,0,3,1
Belgium,Stephane Lemeret,3,4,1,6,4,0,7
Belgium,Tony Verhelle,3,6,4,3,3,2,4
Czech Republic,Tomas Hyan,7,1,5,5,1,3,3
Denmark,Soren W. Rasmussen,10,3,2,2,6,2,0
Finland,Velimatti Honkanen,8,5,4,4,1,2,1
France,Thierry Etienne,5,6,3,2,1,5,3
France,Didier Laurent,5,2,4,3,7,1,3
France,Yves Maroselli,4,5,3,2,1,4,6
France,Stephane Meunier,2,8,2,1,2,5,5
France,Jean-Michel Normand,4,3,3,2,8,1,4
France,Alain-Gabriel Verdevoye,7,2,6,3,2,4,1
Germany,Holger Appel,4,6,10,0,0,1,4
Germany,Ulla Ellmer,6,1,7,3,1,3,4
Germany,Frank Janssen,3,8,10,1,2,1,0
Germany,Georg Kacher,5,6,5,5,1,3,0
Germany,Jürgen Lewandowski,10,3,5,4,0,1,2
Germany,Jörg Reichle,6,8,5,3,1,2,0
Greece,Efstratios Chatzipanagiotou,4,5,2,3,3,2,6
Hungary,Zsolt Csikos,6,2,3,4,4,2,4
Hungary,Miklos Gajdan,6,1,8,3,4,1,2
Ireland,Michael McAleer,4,1,6,5,2,7,0
Italy,Piero Bianco,7,5,2,4,2,4,1
Italy,Diego Eramo,6,5,4,5,4,4,1
Italy,Alessandro Ferrari,7,6,2,3,2,5,0
Italy,Massimo Nascimbene,7,3,1,5,5,3,1
Italy,Alberto Sabbatini,7,5,2,2,2,5,2
Italy,Giorgio Ursicino,6,4,2,5,3,2,3
Netherlands,Jaco Bijlsma,2,8,2,2,2,2,7
Netherlands,Ton Roks,7,4,3,1,2,2,6
Netherlands,Gert Wisse,6,4,3,5,4,2,1
Norway,Rune Korsvoll,7,4,4,3,3,3,1
Poland,Wojciech Sierpowski,7,4,2,6,2,2,2
Poland,Maciek Ziemek,7,6,3,4,4,1,0
Portugal,Francisco Mota,5,1,7,2,4,4,2
Portugal,Joaquim Oliveira,6,1,7,1,5,4,1
Russia,Vadim Ovsiankin,7,2,4,3,5,3,1
Russia,Mikhail I. Podorozhansky,5,2,5,6,3,4,0
Slovenia,Sebastjan Plevnjak,8,3,2,7,1,1,3
Spain,Felix Cerezo,7,4,3,5,1,1,4
Spain,Rafael Guitart,8,2,2,7,4,1,1
Spain,Alberto Mallo,3,9,3,3,4,2,1
Spain,Juan Carlos Payo,8,4,3,5,3,1,1
Spain,Xavier Perez,8,5,1,4,4,1,2
Spain,Pere Prat,5,5,1,4,6,3,1
Sweden,Jan-Erik Berggren,10,5,3,1,0,6,0
Sweden,Hakan Matson,5,2,8,4,2,3,1
Sweden,Tommy Wahlström,9,0,3,7,5,1,0
Switzerland,Urs Bartschi,7,3,3,5,3,2,2
Switzerland,Peter Ruch,4,9,4,3,2,0,3
Turkey,Ufuk Sandik,7,6,3,5,1,2,1
United Kingdom,Andrew English,4,6,5,3,2,5,0
United Kingdom,Andrew Frankel,3,5,4,3,2,6,2
United Kingdom,Paul Horrell,3,5,4,3,4,3,3
United Kingdom,Phil McNamara,4,6,5,4,2,4,0
United Kingdom,Matthew Prior,8,5,1,1,3,3,4
United Kingdom,John Simister,1,10,0,0,3,5,6
