Country,Jury,Opel/Vauxhall Astra,Volvo XC90,Mazda MX-5,Audi A4,Jaguar XE,Skoda Superb,BMW 7 Series
Austria,Horst Bauer,8,4,5,1,3,3,1
Austria,Gerhard Nöhrer,8,2,4,2,2,4,3
Belgium,Stephane Lemeret,4,4,6,1,5,5,0
Belgium,Tony Verhelle,5,4,6,1,4,2,3
Cezch Republic,Jiri Duchon,6,3,4,3,2,5,2
Denmark,Soren W. Rasmussen,9,7,1,5,1,1,1
Finland,Velimatti Honkanen,8,3,2,5,1,5,1
France,Thierry Etienne,1,7,4,4,3,1,5
France,Didier Laurent,7,6,2,2,4,1,3
France,Yves Maroselli,3,6,7,3,4,1,1
France,Stephane Meunier,1,5,8,4,2,2,3
France,Jean-Michel Normand,3,8,5,1,3,1,4
France,Alain-Gabriel Verdevoye,2,3,1,7,5,4,3
Germany,Holger Appel,4,10,0,3,2,0,6
Germany,Ulla Ellmer,4,5,0,6,3,2,5
Germany,Frank Janssen,2,9,1,3,2,1,7
Germany,Georg Kacher,5,4,0,4,4,4,4
Germany,Jörg Reichle,7,4,2,4,2,4,2
Germany,Michael Specht,5,4,1,6,2,3,4
Greece,Efstratios Chatzipanagiotou,7,5,1,6,2,1,3
Hungary,Zsolt Csikos,5,4,8,2,2,2,2
Hungary,Miklos Gajdan,7,5,4,3,1,2,3
Ireland,Michael McAleer,5,5,7,1,1,4,2
Italy,Silvia Baruffaldi,7,6,1,2,3,4,2
Italy,Piero Bianco,8,5,1,2,4,3,2
Italy,Diego Eramo,5,4,0,8,4,4,0
Italy,Massimo Nascimbene,6,8,3,3,1,1,3
Italy,Alberto Saabatini,8,3,2,5,2,3,2
Italy,Giorgio Ursicino,6,5,2,3,4,3,2
Netherlands,Jaco Bijlsma,5,4,6,0,4,3,3
Netherlands,Ton Roks,6,2,5,2,8,1,1
Netherlands,Gert Wisse,7,8,3,0,4,1,2
Norway,Rune Korsvoll,7,8,1,4,1,2,2
Poland,Wojciech Sierpowski,9,5,1,2,2,3,3
Poland,Maciek Ziemek,6,4,4,4,4,2,1
Portugal,Francisco Mota,8,4,1,6,4,1,1
Portugal,Joaquim Oliveira,5,4,0,7,2,3,4
Russia,Vadim Ovsiankin,3,4,4,3,5,3,3
Russia,Mikhail I. Podorozhansky,2,4,6,3,4,3,3
Slovenia,Sebastjan Plevnjak,4,3,5,4,2,4,3
Spain,Felix Cerezo,7,6,3,4,2,2,1
Spain,Rafael Guitart,8,4,3,4,2,3,1
Spain,Alberto Mallo,7,3,5,4,2,1,3
Spain,Juan Carlos Payo,7,3,3,5,3,2,2
Spain,Xavier Perez,3,3,3,5,4,4,3
Spain,Pere Prat,6,3,2,5,3,2,4
Sweden,Jan-Erik Berggren,6,10,0,4,3,0,2
Sweden,Hakan Matson,6,10,1,3,1,0,4
Sweden,Tommy Wahlström,3,9,2,6,0,4,1
Switzerland,Urs Bartschi,7,4,3,2,5,1,3
Switzerland,Peter Ruch,6,7,8,1,0,3,0
Turkey,Ufuk Sandik,7,5,4,3,1,2,3
United Kingdom,Andrew English,4,4,10,1,2,1,3
United Kingdom,Andrew Frankel,3,4,6,2,3,5,2
United Kingdom,Paul Horrell,6,4,4,3,4,0,4
United Kingdom,Phil McNamara,5,3,4,2,3,6,2
United Kingdom,Matthew Prior,1,9,7,0,3,5,0
United Kingdom,John Sinister,2,5,10,0,4,4,0
