Country,Jury,Peugeot 3008,Alfa Romeo Giulia,Mercedes-Benz E-Class,Volvo S90/V90,Citröen C3,Toyota C-HR,Nissan Micra
Austria,Horst Bauer,7,9,5,0,0,2,2
Austria,Gerhard Nöhrer,7,4,8,1,0,5,0
Belgium,Stephane Lemeret,3,8,1,5,2,4,2
Belgium,Tony Verhelle,3,3,5,3,4,4,3
Czech Republic,Jiri Duchon,6,7,3,2,2,4,1
Denmark,Soren W. Rasmussen,8,1,3,6,1,3,3
Finland,Velimatti Honkanen,2,5,5,6,5,1,1
France,Thierry Etienne,7,8,0,3,3,3,1
France,Didier Laurent,8,5,0,2,6,4,0
France,Yves Maroselli,6,7,2,1,4,4,1
France,Stephane Meunier,8,5,1,2,7,1,1
France,Jean-Michel Normand,9,5,2,1,4,1,3
France,Alain-Gabriel Verdevoye,7,5,8,3,1,0,1
Germany,Holger Appel,6,5,10,1,3,0,0
Germany,Ulla Ellmer,3,5,8,4,3,2,0
Germany,Timo Friedmann,8,4,2,9,0,2,0
Germany,Frank Janssen,3,10,7,1,2,2,0
Germany,Georg Kacher,6,5,4,3,2,3,2
Germany,Michael Specht,4,5,6,2,3,2,3
Greece,Efstratios Chatzipanagiotou,7,6,0,0,3,5,4
Hungary,Zsolt Csikos,4,5,3,3,3,4,3
Hungary,Miklos Gajdan,4,6,5,4,2,3,1
Ireland,Michael McAleer,6,1,8,4,2,3,1
Italy,Silvia Baruffaldi,8,6,0,3,2,3,3
Italy,Piero Bianco,4,8,2,2,3,3,3
Italy,Diego Eramo,9,6,0,4,2,2,2
Italy,Massimo Nascimbene,7,6,1,2,3,3,3
Italy,Alberto Sabbatini,5,9,2,3,2,2,2
Italy,Giorgio Ursicino,4,8,1,2,3,4,3
Netherlands,Jaco Bijlsma,4,8,2,2,4,4,1
Netherlands,Ton Roks,3,7,5,2,2,4,2
Netherlands,Gert Wisse,2,7,4,5,1,5,1
Norway,Rune Korsvoll,3,1,5,6,1,5,4
Poland,Wojciech Sierpowski,8,4,0,3,3,4,3
Poland,Maciek Ziemek,6,5,1,2,3,3,5
Portugal,Francisco Mota,10,2,4,3,2,2,2
Portugal,Joaquim Oliveira,8,1,5,1,3,3,4
Russia,Vadim Ovsiankin,5,4,3,4,2,3,4
Russia,Mikhail I. Podorozhansky,2,4,5,4,2,4,4
Slovenia,Sebastjan Plevnjak,8,5,2,1,3,3,3
Spain,Felix Cerezo,8,3,2,2,3,3,4
Spain,Rafael Guitart,8,2,1,3,4,3,4
Spain,Alberto Mallo,6,8,1,4,2,1,3
Spain,Juan Carlos Payo,9,3,1,2,4,3,3
Spain,Xavier Perez,10,0,0,1,7,4,3
Spain,Pere Prat,9,0,0,3,6,2,5
Sweden,Jan-Erik Berggren,0,7,3,8,6,1,0
Sweden,Hakan Matson,5,8,2,2,3,4,1
Sweden,Tommy Wahlström,2,1,5,10,3,4,0
Switzerland,Urs Bartschi,6,6,7,0,0,4,2
Switzerland,Peter Ruch,6,8,0,5,5,0,1
Turkey,Ufuk Sandik,7,4,1,3,3,5,2
United Kingdom,Andrew English,1,2,10,3,1,3,5
United Kingdom,Andrew Frankel,1,4,6,2,3,2,7
United Kingdom,Paul Horrell,3,5,7,3,1,3,3
United Kingdom,Phil McNamara,5,2,7,1,3,2,5
United Kingdom,Matthew Prior,4,8,6,5,2,0,0
United Kingdom,John Simister,1,10,0,0,7,2,5
