Country,Jury,Volvo XC40,Seat Ibiza,BMW 5-Series,Kia Stinger,Citröen C3 Aircross,Audi A8,Alfa Romeo Stelvio
Austria,Horst Bauer,2,8,4,6,2,1,2
Austria,Gerhard Nöhrer,2,8,2,5,3,3,2
Austria,Susanne Hofbauer,3,6,1,7,3,4,1
Belgium,Stephane Lemeret,7,3,1,6,1,2,5
Belgium,Anthony (Tony) Verhelle,6,4,1,5,4,1,4
Czech Republic,Jiri Duchon,2,6,7,4,1,3,2
Denmark,Soren W. Rasmussen,9,5,2,2,3,3,1
Finland,Velimatti Honkanen,8,7,2,1,1,4,2
France,Thierry Etienne,3,2,2,2,5,4,7
France,Didier Laurent,6,0,3,5,8,3,0
France,Yves Maroselli,4,3,1,3,5,3,6
France,Stephane Meunier,6,3,3,4,6,2,1
France,Jean-Michel Normand,9,0,5,2,4,2,3
France,Alain-Gabriel Verdevoye,5,2,8,3,4,0,3
Germany,Holger Appel,2,6,9,1,1,4,2
Germany,Ulla Ellmer,3,6,7,2,1,5,1
Germany,Timo Friedmann,2,5,6,3,4,5,0
Germany,Frank Janssen,5,1,10,6,0,2,1
Germany,Birgit Priemer,4,5,8,3,0,3,2
Germany,Michael Specht,5,5,4,2,4,4,1
Greece,Efstratios Chatzipanagiotou,7,4,1,2,5,3,3
Hungary,Zsolt Csikos,6,4,2,5,1,2,5
Hungary,Miklos Gajdan,8,5,6,1,1,3,1
Ireland,Michael McAleer,5,4,7,2,3,2,2
Italy,Silvia Baruffaldi,6,3,2,4,3,2,5
Italy,Piero Bianco,6,2,2,4,2,2,7
Italy,Diego Eramo,8,3,0,7,2,0,5
Italy,Massimo Nascimbene,5,3,3,5,3,0,6
Italy,Alberto Sabbatini,7,2,4,4,2,1,5
Italy,Giorgio Ursicino,4,4,2,4,4,2,5
Luxembourg,Eric Netgen,1,1,2,8,3,4,6
Netherlands,Jaco Bijlsma,9,2,1,3,1,5,4
Netherlands,Ton Roks,3,4,2,7,2,2,5
Netherlands,Gert Wisse,8,6,0,4,2,3,2
Norway,Rune Korsvoll,9,1,3,2,4,4,2
Poland,Wojciech Sierpowski,3,4,1,4,6,3,4
Poland,Maciek Ziemek,5,1,3,7,1,5,3
Portugal,Francisco Mota,4,6,3,2,5,3,2
Portugal,Joaquim Oliveira,6,5,4,2,2,3,3
Russia,Vadim Ovsiankin,4,4,4,5,3,1,4
Russia,Mikhail I. Podorozhansky,4,2,4,3,3,6,3
Slovenia,Sebastjan Plevnjak,3,8,2,5,1,2,4
Spain,Felix Cerezo,7,5,3,1,4,2,3
Spain,Rafael Guitart,8,5,3,1,4,2,2
Spain,Pedro Martin,6,7,4,1,4,2,1
Spain,Juan Carlos Payo,6,4,2,3,4,2,4
Spain,Xavier Perez,6,6,1,2,7,1,2
Spain,Pere Prat,4,8,1,1,6,1,4
Sweden,Jan-Erik Berggren,5,3,6,0,2,9,0
Sweden,Hakan Matson,8,3,6,1,2,4,1
Sweden,Tommy Wahlström,5,3,6,1,0,10,0
Switzerland,Urs Bartschi,5,7,4,3,2,2,2
Switzerland,Peter Ruch,5,4,1,3,6,3,3
Turkey,Ufuk Sandik,9,2,3,5,1,1,4
United Kingdom,Andrew English,6,4,10,0,2,3,0
United Kingdom,Andrew Frankel,6,4,5,3,1,4,2
United Kingdom,Paul Horrell,6,3,9,0,4,3,0
United Kingdom,Phil McNamara,6,5,7,3,1,2,1
United Kingdom,Matthew Prior,7,2,9,5,1,1,0
United Kingdom,John Sinister,6,4,2,9,1,1,2
