Country,Jury,Jaguar I-Pace,Alpine A110,Kia Ceed,Ford Focus,Citröen C5 Aircross,Peugeot 508,Mercedes-Benz A-Class
Austria,Horst Bauer,1,7,5,5,2,4,1
Austria,Susanne Hofbauer,7,10,2,2,1,3,0
Austria,Dieter Hubmann,7,3,3,4,3,2,3
Belgium,Stephane Lemeret,0,10,6,5,3,1,0
Belgium,Anthony (Tony) Verhelle,4,5,3,3,6,3,1
Czech Republic,Jiri Duchon,2,3,5,5,2,6,2
Denmark,Soren W. Rasmussen,2,0,6,3,8,5,1
Finland,Velimatti Honkanen,2,2,5,4,7,2,3
France,Didier Laurent,2,0,7,6,5,5,0
France,Yves Maroselli,4,7,1,3,5,4,1
France,Stephane Meunier,1,7,4,2,5,5,1
France,Jean-Michel Normand,7,5,2,2,4,4,1
France,Sylvain Reisser,2,5,3,4,4,6,1
France,Alain-Gabriel Verdevoye,0,4,7,2,8,3,1
Germany,Holger Appel,4,10,2,3,3,1,2
Germany,Ulla Ellmer,7,4,3,2,3,1,5
Germany,Timo Friedmann,2,1,5,4,4,3,6
Germany,Frank Janssen,4,8,2,2,6,1,2
Germany,Birgit Priemer,2,5,4,6,3,1,4
Germany,Michael Specht,6,1,3,4,4,3,4
Greece,Efstratios Chatzipanagiotou,4,6,3,5,3,4,0
Hungary,Zsolt Csikos,5,4,4,3,3,3,3
Hungary,Miklos Gajdan,4,2,7,5,1,2,4
Ireland,Michael McAleer,8,1,3,4,2,4,3
Italy,Silvia Baruffaldi,7,1,4,4,4,4,1
Italy,Piero Bianco,8,1,4,4,3,3,2
Italy,Guido Costantini,4,4,2,5,3,3,4
Italy,Gian-Luca Pellegrini,7,4,6,4,1,2,1
Italy,Alberto Sabbatini,7,2,3,5,2,3,3
Italy,Giorgio Ursicino,6,2,4,4,3,4,2
Luxembourg,Eric Netgen,4,10,3,5,2,1,0
Netherlands,Jaco Bijlsma,4,10,3,5,2,1,0
Netherlands,Ton Roks,3,8,1,3,1,7,2
Netherlands,Gert Wisse,2,6,5,8,1,2,1
Norway,Rune Korsvoll,8,0,3,4,5,3,2
Poland,Wojciech Sierpowski,0,2,4,4,8,6,1
Poland,Maciek Ziemek,2,3,5,4,4,4,3
Portugal,Francisco Mota,1,1,5,6,2,5,5
Portugal,Joaquim Oliveira,3,1,5,3,2,4,7
Russia,Vadim Ovsiankin,2,4,4,5,4,4,2
Russia,Mikhail I. Podorozhansky,3,9,1,3,3,5,1
Slovenia,Sebastjan Plevnjak,7,0,5,5,0,6,2
Spain,Felix Cerezo,1,1,6,5,4,4,4
Spain,Rafael Guitart,0,0,8,7,4,5,1
Spain,Pedro Martin,0,0,9,8,3,4,1
Spain,Juan Carlos Payo,1,1,7,5,5,4,2
Spain,Xavier Perez,1,1,6,2,9,5,1
Spain,Pere Prat,2,2,5,5,6,4,1
Sweden,Jan-Erik Berggren,5,0,8,2,6,0,4
Sweden,Carl-Johan Lejland,8,3,2,1,7,1,3
Sweden,Tommy Wahlström,4,1,5,2,8,3,2
Switzerland,Urs Bartschi,7,6,6,3,0,1,2
Switzerland,Peter Ruch,2,10,4,2,2,5,0
Turkey,Ufuk Sandik,4,1,6,8,1,2,3
United Kingdom,Andrew English,10,7,1,4,3,0,0
United Kingdom,Andrew Frankel,7,8,3,3,0,2,2
United Kingdom,Pual Horrell,9,7,3,3,3,0,0
United Kingdom,Phil McNamara,9,4,4,4,1,2,1
United Kingdom,Matthew Prior,8,10,2,1,1,2,1
United Kingdom,John Simister,7,10,0,1,2,5,0
