Country,Jury,Peugeot 208,Tesla Model 3,Porsche Taycan,Renault Clio,Ford Puma,Toyota Corolla,BMW 1-Series
Austria,Horst Bauer,6,0,4,3,8,2,2
Austria,Susanne Hofbauer,2,4,8,2,7,0,2
Austria,Dieter Hubmann,8,1,6,3,4,1,2
Belgium,Stephane Lemeret,7,0,3,10,4,1,0
Belgium,Anthony (Tony) Verhelle,5,5,4,6,1,3,1
Czech Republic,Jiri Duchon,5,1,2,4,3,6,4
Denmark,Soren W. Rasmussen,5,9,2,5,2,1,1
Finland,Velimatti Honkanen,4,2,3,3,7,4,2
France,Didier Laurent,8,3,5,4,5,0,0
France,Yves Maroselli,5,4,4,7,2,2,1
France,Stephane Meunier,4,4,2,7,2,4,2
France,Jean-Michel Normand,4,5,2,9,2,1,2
France,Sylvain Reisser,7,1,3,8,3,2,1
France,Alain-Gabriel Verdevoye,8,3,0,7,1,2,4
Germany,Holger Appel,2,1,10,2,4,1,5
Germany,Ulla Ellmer,2,3,6,2,7,1,4
Germany,Timo Friedmann,7,0,10,2,2,2,2
Germany,Frank Janssen,1,0,8,1,5,4,6
Germany,Michael Specht,3,3,4,3,6,2,4
Greece,Efstratois Chatzipanagiotou,10,1,1,3,5,5,0
Hungary,Zsolt Csikos,4,6,4,4,2,4,1
Hungary,Miklos Gajdan,3,7,5,4,2,3,1
Ireland,Michael McAleer,2,6,5,1,1,7,3
Italy,Silvia Baruffaldi,6,2,1,1,5,5,5
Italy,Andrea Brambilla,7,1,0,3,5,4,5
Italy,Guido Costantini,3,6,1,5,3,3,4
Italy,Gian-Luca Pellegrini,4,7,1,2,3,6,2
Italy,Alberto Sabbatini,7,5,3,2,3,2,3
Italy,Giorgio Ursicino,7,3,2,2,4,4,3
Luxembourg,Eric Netgen,7,2,4,3,3,5,1
Netherlands,Jaco Bijlsma,3,10,4,2,1,5,0
Nerherlands,Peter Hilhorst,4,10,7,3,0,1,0
Norway,Rune Korsvoll,6,8,2,1,3,4,1
Poland,Roman Popkiewicz,2,9,8,2,2,1,1
Poland,Maciek Ziemek,5,2,2,5,6,4,1
Portugal,Francisco Mota,6,2,4,5,3,2,3
Portugal,Joaquim Oliveira,7,2,2,6,3,2,3
Russia,Vadim Ovsiankin,3,5,4,4,3,3,3
Russia,Mikhail I. Podorozhansky,3,10,7,1,1,0,3
Slovenia,Sebastjan Plevnjak,2,2,3,4,10,2,2
Spain,Felix Cerezo,6,4,1,4,4,3,3
Spain,Rafael Guitart,7,1,0,6,5,2,4
Spain,Pedro Martin,5,4,0,7,6,1,2
Spain,Juan Carlos Payo,7,2,1,5,5,3,2
Spain,Xavier Perez,10,0,0,3,5,4,3
Spain,Pere Prat,8,0,1,6,6,2,2
Sweden,Jan-Erik Berggren,6,10,1,2,2,1,3
Sweden,Carl-Johan Lejland,4,8,7,1,1,2,2
Sweden,Tommy Wahlström,3,7,0,4,1,10,0
Switzerland,Andreas Faust,5,4,7,2,3,2,2
Switzerland,Peter Ruch,6,4,4,5,2,0,4
Turkey,Ufuk Sandik,1,8,6,4,2,3,1
United Kingdom,Andrew English,3,3,9,0,3,2,5
United Kingdon,Andrew Frankel,3,4,7,3,5,1,2
United Kingdom,Paul Horrell,2,7,5,2,3,1,5
United Kingdom,Phil McNamara,4,7,5,3,4,1,1
United Kingdom,Matthew Prior,4,6,5,2,4,3,1
United Kingdom,Vicky Parrott,3,8,7,1,5,0,1
