Country,Jury,Toyota Yaris,Fiat New 500,Cupra Formentor,Volkswagen ID.3,Skoda Octavia,Land Rover Defender,Citroen C4
Austria,Horst Bauer,4,2,6,1,8,3,1
Austria,Susanne Hofbauer,1,7,2,3,6,4,2
Austria,Dieter Hubmann,4,4,4,6,5,1,1
Belgium,Joost Bolle,0,3,10,4,5,3,0
Belgium,Stéphane Lemeret,8,7,4,1,1,1,3
Czech Republic,Jiri Duchon,4,3,5,2,7,1,3
Denmark,Soren W. Rasmussen,3,3,1,9,4,1,4
Finland,Velimatti Honkanen,4,1,6,4,4,3,3
France,Didier Laurent,8,3,6,5,0,0,3
France,Yves Maroselli,7,3,3,3,4,1,4
France,Stéphane Meunier,8,3,2,2,4,2,4
France,Jean-Michel Normand,3,9,2,6,1,0,4
France,Sylvain Reisser,4,5,6,3,4,1,2
France,Alain-Gabriel Verdevoye,3,1,5,2,7,1,6
Germany,Holger Appel,2,6,2,3,2,10,0
Germany,Hanno Boblenz,1,9,5,1,7,2,0
Germany,Ulla Ellmer,3,4,4,7,1,5,1
Germany,Timo Friedmann,7,3,1,6,8,0,0
Germany,Frank Janssen,8,4,1,7,3,2,0
Germany,Michael Specht,4,4,3,6,4,2,2
Greece,Helen Xenakis,5,4,4,6,1,3,2
Hungary,Zsolt Csikos,4,5,4,3,2,4,3
Hungary,Miklos Gajdan,7,5,4,3,2,2,2
Ireland,Michael McAleer,3,4,3,7,5,1,2
Italy,Silvia Baruffaldi,5,6,4,3,1,4,2
Italy,Andrea Brambilla,3,4,4,4,2,5,3
Italy,Guido Costantini,4,5,3,4,3,4,2
Italy,Gian-Luca Pellegrini,7,4,4,1,3,5,1
Italy,Alberto Sabbatini,3,5,7,4,3,2,1
Italy,Giorgio Ursicino,5,4,3,6,1,4,2
Netherlands,Jaco Bijlsma,6,8,1,6,0,1,3
Netherlands,Peter Hilhorst,6,8,1,5,0,1,4
Netherlands,Gert Wisse,2,4,6,1,1,9,2
Norway,Fred Magne Skillebaek,4,1,3,10,2,0,5
Poland,Roman Popkiewicz,3,3,5,5,2,6,1
Poland,Maciek Ziemek,10,1,6,2,1,4,1
Portugal,Francisco Mota,7,5,1,6,3,2,1
Portugal,Joaquim Oliveira,5,3,4,6,5,0,2
Russia,Vadim Ovsiankin,5,3,4,3,3,4,3
Russia,Sergey Znaemsky,4,5,3,1,3,6,3
Slovenia,Sebastjan Plevnjak,4,4,10,1,1,3,2
Spain,Félix Cerezo,4,3,5,4,4,2,3
Spain,Rafael Guitart,4,3,4,4,6,2,2
Spain,Pedro Martin,4,2,7,1,6,1,4
Spain,Juan Carlos Payo,5,2,7,3,3,2,3
Spain,Xavier Pérez,3,1,10,1,0,3,7
Spain,Pere Prat,1,1,10,2,2,2,7
Sweden,Jan-Erik Berggren,2,3,5,4,3,0,8
Sweden,Carl-Johan Lejland,7,3,1,6,3,2,3
Sweden,Tommy Wahlström,6,4,1,2,10,0,2
Switzerland,Andreas Faust,4,5,1,6,7,1,1
Switzerland,Peter Ruch,7,8,3,1,5,0,1
Turkey,Ufuk Sandik,8,4,4,1,6,1,1
United Kingdom,Andrew English,4,1,0,8,4,7,1
United Kingdom,Andrew Frankel,3,5,2,3,3,7,2
United Kingdom,Paul Horrell,4,4,5,5,0,6,1
United Kingdom,Phil McNamara,7,3,3,2,1,4,5
United Kingdom,Matthew Prior,4,5,7,1,3,5,0
United Kingdom,Vicky Parrott,1,8,2,2,4,6,2
